59,http%3A%2F%2Fwww.nichirei.co.jp%2Fnews%2F2014%2Ffoods.html,div#mainContents1,ニチレイフーズ,にちれいふーず,,2014-06-08 15:51:13.366276,
60,http%3A%2F%2Fwww.maruha-nichiro.co.jp%2Fnews_center%2Findex.html,div.rssRelease ,マルハニチロ,まるはにちろ,,2014-06-08 16:04:01.099277,
61,http%3A%2F%2Fwww.eat-and.jp%2Fnews%2Fproduct%2Findex.html,div#main-column ,イートアンド（大阪王将）,いーとあんど,,2014-06-08 16:08:18.222053,
62,http%3A%2F%2Fwww.kikuchi-shokuhin.co.jp%2F,div#News ,菊池食品（味の菊一）,きくちしょくひんあじのきくいち,,2014-06-08 16:13:13.438723,
64,http%3A%2F%2Fwww.kibun.co.jp%2Fnews,ul.newsList,紀文,きぶん,,2014-06-08 16:19:52.54134,
65,http%3A%2F%2Fwww.yonekyu.co.jp%2Fnews%2Fbacknumber.html,div#main ,米久,よねきゅう,,2014-06-08 16:23:23.826401,
66,http%3A%2F%2Fwww.mccfoods.co.jp%2Ftop%2F,div.bottomBlock,MCC,えむしーしー,,2014-06-08 16:29:29.616711,
67,http%3A%2F%2Fknorr-club.jp%2Fproduct,ul#topic_goods,クノール,くのーる,,2014-06-08 16:33:08.222749,
68,http%3A%2F%2Fsearch.nissui.co.jp%2Frss%3Fitem%3D4,,ニッスイ,にっすい,,2014-06-08 16:36:47.582832,
69,http%3A%2F%2Fwww.inaba-foods.jp%2Ftopics%2Findex,div#main ,いなば,いなば,,2014-06-08 16:39:31.127911,
70,http%3A%2F%2Fwww.hoteifoods.co.jp%2Fnews%2Findex.html,div#main ,ホテイフーズ,ほていふーず,,2014-06-08 16:40:28.726514,
71,http%3A%2F%2Fwww.acecook.co.jp%2F,div.news,エースコック,えーすこっく,,2014-06-08 17:36:38.587497,
