itemurl,imgurl,status,idate,cdate
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn02.png,,2014-05-24 10:45:29.742897,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/txt02.png,,2014-05-24 10:45:29.751321,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn03.png,,2014-05-24 10:45:29.759302,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/txt04.png,,2014-05-24 10:45:29.767628,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn04.png,,2014-05-24 10:45:29.775947,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn05.png,,2014-05-24 10:45:29.784275,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn06.png,,2014-05-24 10:45:29.792574,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn07.png,,2014-05-24 10:45:29.800921,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn08.png,,2014-05-24 10:45:29.809234,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/txt05.png,,2014-05-24 10:45:29.817961,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn09.png,,2014-05-24 10:45:29.825926,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn10.png,,2014-05-24 10:45:29.83463,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn11.png,,2014-05-24 10:45:29.842587,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn12.png,,2014-05-24 10:45:29.850927,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn13.png,,2014-05-24 10:45:29.859344,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn14.png,,2014-05-24 10:45:29.867672,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn15.png,,2014-05-24 10:45:29.87611,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn16.png,,2014-05-24 10:45:29.884307,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/txt06.png,,2014-05-24 10:45:29.89282,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn17.png,,2014-05-24 10:45:29.900941,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn18.png,,2014-05-24 10:45:29.909387,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn19.png,,2014-05-24 10:45:29.918149,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn20.png,,2014-05-24 10:45:29.926227,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/txt03.png,,2014-05-24 10:45:29.93444,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn32.png,,2014-05-24 10:45:29.942907,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn21.png,,2014-05-24 10:45:29.951491,2014-05-28 20:26:18
http://pocky.jp/products/summer/berry.html,http://cdn.pocky.jp/common/pockynavi_img/logo_g.jpg,,2014-05-27 20:21:52.652926,2014-05-28 20:22:49
http://pocky.jp/products/summer/berry.html,http://cdn.pocky.jp/common/pockynavi_img/spacer.gif,,2014-05-27 20:21:52.661384,2014-05-28 20:22:49
http://www.maruchan.co.jp/news_topics/entry/2014/04/post_955.html,http://www.maruchan.co.jp/common/images/head_nav_sitemap.gif,,2014-05-16 07:34:11.459161,2014-05-28 20:24:15
http://www.maruchan.co.jp/news_topics/entry/2014/04/post_955.html,http://www.maruchan.co.jp/common/images/foot_mobile_ttl.gif,,2014-05-16 07:34:11.620196,2014-05-28 20:24:16
http://www.maruchan.co.jp/news_topics/entry/2014/04/post_955.html,http://www.maruchan.co.jp/common/images/foot_mobile_qr.gif,,2014-05-16 07:34:11.62571,2014-05-28 20:24:16
http://www.maruchan.co.jp/news_topics/entry/2014/04/post_955.html,http://www.maruchan.co.jp/common/images/foot_sp_ttl.gif,,2014-05-16 07:34:11.634083,2014-05-28 20:24:16
http://www.maruchan.co.jp/news_topics/entry/2014/04/post_955.html,http://www.maruchan.co.jp/common/images/foot_sp_qr.gif,,2014-05-16 07:34:11.648347,2014-05-28 20:24:16
http://www.maruchan.co.jp/news_topics/entry/2014/04/post_955.html,http://www.maruchan.co.jp/common/images/side_recruit_img.jpg,,2014-05-16 07:34:11.592446,2014-05-28 20:24:16
http://www.maruchan.co.jp/news_topics/entry/2014/04/post_955.html,http://www.maruchan.co.jp/common/images/foot_pagetop.gif,,2014-05-16 07:34:11.600782,2014-05-28 20:24:16
http://www.maruchan.co.jp/news_topics/entry/2014/03/beams.html,http://www.maruchan.co.jp/common/images/gnav_about.gif,,2014-05-16 07:34:13.434777,2014-05-16 11:36:28
http://www.maruchan.co.jp/news_topics/entry/2014/03/beams.html,http://www.maruchan.co.jp/common/images/gnav_csr.gif,,2014-05-16 07:34:13.443184,2014-05-16 11:36:28
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/image/c_kudamono.png,,2014-05-19 17:07:58.03248,2014-05-28 20:15:22
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/image/f_header_b4.jpg,,2014-05-19 17:07:57.999322,2014-05-28 20:15:22
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/image/c_oishiikon.png,,2014-05-19 17:07:58.482522,2014-05-28 20:15:22
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn24.png,,2014-05-24 10:45:29.976102,2014-05-28 20:26:18
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/foot_smiles_for_all.gif,,2014-05-16 07:34:12.23439,2014-05-26 10:20:36
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/image/c_pure.png,,2014-05-19 17:07:58.290761,2014-05-28 20:15:22
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/image/c_variety.png,,2014-05-19 17:07:58.52413,2014-05-28 20:15:22
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/jellys/jellys-otoriyose/image/otoriyose_nashi.jpg,選択,2014-05-19 17:07:58.848934,2014-05-28 20:15:23
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn22.png,,2014-05-24 10:45:29.959468,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn23.png,,2014-05-24 10:45:29.967753,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn25.png,,2014-05-24 10:45:29.984397,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn26.png,,2014-05-24 10:45:29.992725,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn28.png,,2014-05-24 10:45:30.018102,2014-05-28 20:26:18
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/jellys/image/new.gif,,2014-05-19 17:07:58.06574,2014-05-28 20:15:23
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/image/c_amakoi.png,,2014-05-19 17:07:58.124183,2014-05-28 20:15:22
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/image/c_gorotto.png,,2014-05-19 17:07:58.074084,2014-05-28 20:15:22
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/head_nav_search.gif,,2014-05-16 07:34:11.91824,2014-05-26 10:20:35
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn29.png,,2014-05-24 10:45:30.02607,2014-05-28 20:26:18
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/head_nav_sitemap.gif,,2014-05-16 07:34:11.909623,2014-05-26 10:20:35
